"Česká Kubice, směr od Německa"|"Česká Kubice"|"Česká Kubice"|"KP055"|"5"
"Česká Kubice, směr od Babylonu"|"Česká Kubice"|"Česká Kubice"|"KP056"|"5"
"Holýšov, směr od Plzně"|"Holýšov"|"Jiráskova třída"|"KP051"|"7"
"Horšovský Týn, směr od Boru"|"Horšovský Týn"|"Masarykova"|"KP066"|"8"
"Horšovský Týn, směr od Stříbra"|"Horšovský Týn"|"Gorkého"|"KP067"|"8"
"Horšovský Týn, směr od Bělé"|"Horšovský Týn"|"Nová Ves"|"KP068"|"8"
"Klenčí pod Čerchovem, směr od Německa"|"Klenčí pod Čerchovem"|"Klenčí pod Čerchovem"|"KP061"|"10"
"Klenčí pod Čerchovem, směr od Domažlic"|"Klenčí pod Čerchovem"|"Klenčí pod Čerchovem"|"KP062"|"10"
"Libkov, směr od Klatov"|"Libkov"|"Libkov"|"KP069"|"11"
"Poběžovice, směr od Klenčí"|"Poběžovice"|"Slovanská"|"KP071"|"14"
"Staňkov, směr od H.Týna"|"Staňkov"|"Americká"|"KP053"|"16"
"Běšiny, směr od Klatov"|"Běšiny"|"Běšiny"|"KP072"|"18"
"Běšiny, směr od l/27"|"Běšiny"|"Běšiny"|"KP073"|"18"
"Červené Poříčí, směr od Plzně"|"Červené Poříčí"|"Červené Poříčí"|"KP059"|"19"
"Dlouhá Ves, směr od Sušice"|"Dlouhá Ves"|"Dlouhá Ves"|"KP058"|"20"
"Kolinec, směr od Sušice"|"Kolinec"|"Kolinec"|"KP057"|"25"
"Benešovice, směr od Stříbra"|"Benešovice"|"Benenšovice"|"KP060"|"32"
"Broumov, směr od Plané"|"Broumov"|"Broumov"|"KP065"|"34"
"Broumov, směr od Německa"|"Broumov"|"Broumov"|"KP064"|"34"
"Tachov, směr od Plané"|"Tachov"|"Sokolovská"|"KP063"|"42"
"Tachov, směr od Plzně"|"Tachov"|"Plzeňská"|"KP052"|"42"
"Tachov, směr od Halže"|"Tachov"|"Moravská"|"KP054"|"42"
"Domažlice, směr od Klatov"|"Domažlice"|"Masarykova"|"KP081"|"6"
"Hostouň, směr od Bělé"|"Hostouň"|"Petra Bezruče"|"KP091"|"9"
"Mířkov, směr od Boru"|"Mířkov"|"Mířkov"|"KP070"|"12"
"Nemanice, směr od Poběžovic"|"Nemanice"|"Nemanice"|"KP090"|"13"
"Všeruby - Brůdek, směr od Kdyně"|"Všeruby"|"Brůdek"|"KP077"|"17"
"Všeruby, směr od Německa"|"Všeruby"|"Všeruby"|"KP078"|"17"
"Janovice nad Úhlavou, směr od Klatov"|"Janovice nad Úhlavou"|"Nýrská"|"KP075"|"22"
"Janovice nad Úhlavou, směr od Německa"|"Janovice nad Úhlavou"|"Nýrská"|"KP076"|"22"
"Mochtín - Kocourov, směr od Horažďovic"|"Mochtín"|"Kocourov"|"KP079"|"27"
"Mochtín, směr od Klatov"|"Mochtín"|"Mochtín"|"KP080"|"27"
"Plánice, směr od Klatov"|"Plánice"|"Klatovská"|"KP087"|"29"
"Stráž - Bonětice, směr od H. Týna"|"Stráž - Bonětice"|"Stráž - Bonětice"|"KP074"|"40"
"Bělá nad Radbuzou, směr od Německa"|"Bělá nad Radbuzou"|"Dlouhá"|"KP119"|"1"
"Bělá nad Radbuzou, směr od H. Týna"|"Bělá nad Radbuzou"|"Nádražní"|"KP120"|"1"
"Horažďovice, směr od Klatov"|"Horažďovice"|"Komenského"|"KP112"|"21"
"Horažďovice, směr od Strakonic"|"Horažďovice"|"Strakonická"|"KP113"|"21"
"Horažďovice, směr od Velkého Boru"|"Horažďovice"|"Plzeňská"|"KP114"|"21"
"Kašperské Hory, směr od Vimperka "|"Kašperské Hory"|"Vimperská"|"KP102"|"23"
"Modrava, směr od Srní"|"Modrava"|"Modrava"|"KP088"|"26"
"Modrava - Filipova Huť, směr od Kvildy"|"Modrava"|"Modrava (Filipova Huť)"|"KP089"|"26"
"Nýrsko Klostermannova"|"Nýrsko"|"Klostermanova"|"KP083"|"28"
"Nýrsko, směr od Svaté Kateřiny"|"Nýrsko"|"Palackého"|"KP098"|"28"
"Nýrsko, směr od Chudenína"|"Nýrsko"|"Komenského"|"KP099"|"28"
"Nýrsko, směr od Ž.Rudy"|"Nýrsko"|"U Banky"|"KP084"|"28"
"Sušice, směr od Dlouhé Vsi"|"Sušice"|"Dlouhovesská"|"KP131"|"31"
